DateTime,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp,Heat_DegDays,Cool_DegDays,TotalRain,TotalSnow,TotalPrecip,SnowonGrnd
2015-02-25,2015,2,25,,,,,,,,,
2015-02-26,2015,2,26,-8.5,-14.5,-11.5,29.5,0,0,3,3,23
2015-02-27,2015,2,27,,,,,,,,,
2015-02-28,2015,2,28,,,,,,,,,
2015-03-01,2015,3,1,-2.5,-12.5,-7.5,25.5,0,0,1,1,27
2015-03-02,2015,3,2,,,,,,,,,
2015-03-03,2015,3,3,2,-10,-4,22,0,3,0,3,27
2015-03-04,2015,3,4,3.5,-5.5,-1,19,0,0,0,0,24
2015-03-05,2015,3,5,,,,,,0,0,0,0
2015-03-06,2015,3,6,,,,,,0,0,0,0
2015-03-07,2015,3,7,6,,,,,0,0,0,0
2015-03-08,2015,3,8,7,2,4.5,13.5,0,0,0,0,20
2015-03-09,2015,3,9,,,,,,,,,
2015-03-10,2015,3,10,,,,,,,,,
2015-03-11,2015,3,11,11,-4,3.5,14.5,0,0,0,0,0
2015-03-12,2015,3,12,7,,,,,0,0,0,0
2015-03-13,2015,3,13,,,,,,,,,
2015-03-14,2015,3,14,11,3,7,11,0,0,0,0,0
2015-03-15,2015,3,15,,,,,,,,,
2015-03-16,2015,3,16,13,,,,,0,0,0,0
2015-03-17,2015,3,17,,,,,,,,,
2015-03-18,2015,3,18,,,,,,,,,
2015-03-19,2015,3,19,9,,,,,0,0,0,0
2015-03-20,2015,3,20,,,,,,,,,
2015-03-21,2015,3,21,,,,,,,,,
2015-03-22,2015,3,22,,,,,,0,0,0,0
2015-03-23,2015,3,23,,,,,,,,,
2015-03-24,2015,3,24,,,,,,,,,
2015-03-25,2015,3,25,,,,,,,,,
2015-03-26,2015,3,26,7,0,3.5,14.5,0,0,0,0,0
2015-03-27,2015,3,27,,,,,,,,,
2015-03-28,2015,3,28,2.5,,,,,0,0,0,0
2015-03-29,2015,3,29,6,-9,-1.5,19.5,0,0,0,0,0
2015-03-30,2015,3,30,,,,,,0,0,0,0
2015-03-31,2015,3,31,15,,,,,0,0,0,0
2015-04-01,2015,4,1,15,0,7.5,10.5,0,0,0,0,0
2015-04-02,2015,4,2,14.5,3.5,9,9,0,6,0,6,0
2015-04-03,2015,4,3,15,4,9.5,8.5,0,1,0,1,0
2015-04-04,2015,4,4,,,,,,0,0,0,0
2015-04-05,2015,4,5,,,,,,,,,
2015-04-06,2015,4,6,13.5,,,,,1.4,0,1.4,0
2015-04-07,2015,4,7,8,4,6,12,0,0.4,0,0.4,0
2015-04-08,2015,4,8,,,,,,,,,
2015-04-09,2015,4,9,18,2.5,10.3,7.7,0,8,0,8,0
2015-04-10,2015,4,10,15,8.5,11.8,6.2,0,0,0,0,0
2015-04-11,2015,4,11,18.5,1.5,10,8,0,0,0,0,0
2015-04-12,2015,4,12,15.5,1,8.3,9.7,0,0,0,0,0
2015-04-13,2015,4,13,21.5,,,,,7.4,0,7.4,0
2015-04-14,2015,4,14,17.5,3.5,10.5,7.5,0,0,0,0,0
2015-04-15,2015,4,15,,,,,,,,,
2015-04-16,2015,4,16,,,,,,,,,
2015-04-17,2015,4,17,,,,,,,,,
2015-04-18,2015,4,18,23,,,,,0,0,0,0
2015-04-19,2015,4,19,15,5,10,8,0,11.2,0,11.2,0
2015-04-20,2015,4,20,18,10,14,4,0,1.4,0,1.4,0
2015-04-21,2015,4,21,12.5,5,8.8,9.2,0,0,0,0,0
2015-04-22,2015,4,22,7,2.5,4.8,13.2,0,0,0,0,0
2015-04-23,2015,4,23,5,,,,,0,0,0,0
2015-04-24,2015,4,24,,,,,,,,,
2015-04-25,2015,4,25,,,,,,,,,
2015-04-26,2015,4,26,14,2,8,10,0,0,0,0,0
2015-04-27,2015,4,27,,,,,,,,,
2015-04-28,2015,4,28,20,0,10,8,0,0,0,0,0
2015-04-29,2015,4,29,,,,,,,,,
2015-04-30,2015,4,30,,,,,,,,,
2015-05-01,2015,5,1,22,6,14,4,0,0,0,0,0
2015-05-02,2015,5,2,24,7,15.5,2.5,0,0,0,0,0
2015-05-03,2015,5,3,26,8,17,1,0,0,0,0,0
2015-05-04,2015,5,4,22.5,15.5,19,0,1,3,0,3,0
2015-05-05,2015,5,5,,,,,,,,,
2015-05-06,2015,5,6,,,,,,,,,
2015-05-07,2015,5,7,28,9,18.5,0,0.5,0,0,0,0
2015-05-08,2015,5,8,30.5,13,21.8,0,3.8,0,0,0,0
2015-05-09,2015,5,9,29,14,21.5,0,3.5,4.2,0,4.2,0
2015-05-10,2015,5,10,28,13,20.5,0,2.5,1,0,1,0
2015-05-11,2015,5,11,29.5,15,22.3,0,4.3,9.4,0,9.4,0
2015-05-12,2015,5,12,,,,,,,,,
2015-05-13,2015,5,13,13,7,10,8,0,0,0,0,0
2015-05-14,2015,5,14,19,1,10,8,0,5,0,5,0
2015-05-15,2015,5,15,,,,,,,,,
2015-05-16,2015,5,16,25.5,16,20.8,0,2.8,4.8,0,4.8,0
2015-05-17,2015,5,17,28,17,22.5,0,4.5,0,0,0,0
2015-05-18,2015,5,18,,,,,,,,,
2015-05-19,2015,5,19,13.5,11,12.3,5.7,0,0,0,0,0
2015-05-20,2015,5,20,,,,,,,,,
2015-05-21,2015,5,21,,,,,,,,,
2015-05-22,2015,5,22,20,10.5,15.3,2.7,0,0,0,0,0
2015-05-23,2015,5,23,,,,,,,,,
2015-05-24,2015,5,24,27,10,18.5,0,0.5,0,0,0,0
2015-05-25,2015,5,25,27,17,22,0,4,0,0,0,0
2015-05-26,2015,5,26,29.5,17.5,23.5,0,5.5,3.8,0,3.8,0
2015-05-27,2015,5,27,27,18,22.5,0,4.5,11.2,0,11.2,0
2015-05-28,2015,5,28,,,,,,,,,
2015-05-29,2015,5,29,,,,,,,,,
2015-05-30,2015,5,30,29.5,19.5,24.5,0,6.5,68,0,68,0
2015-05-31,2015,5,31,12,9.5,10.8,7.2,0,26.8,0,26.8,0
2015-06-01,2015,6,1,16.5,7,11.8,6.2,0,0,0,0,0
2015-06-02,2015,6,2,,,,,,,,,
2015-06-03,2015,6,3,23.5,7.5,15.5,2.5,0,0,0,0,0
2015-06-04,2015,6,4,27,13.5,20.3,0,2.3,0,0,0,0
2015-06-05,2015,6,5,27.5,14,20.8,0,2.8,1,0,1,0
2015-06-06,2015,6,6,22,13,17.5,0.5,0,0,0,0,0
2015-06-07,2015,6,7,27,8,17.5,0.5,0,6.6,0,6.6,0
2015-06-08,2015,6,8,26,19,22.5,0,4.5,3.4,0,3.4,0
2015-06-09,2015,6,9,,,,,,,,,
2015-06-10,2015,6,10,32.5,17.5,25,0,7,1.2,0,1.2,0
2015-06-11,2015,6,11,23,16,19.5,0,1.5,1.2,0,1.2,0
2015-06-12,2015,6,12,28,16,22,0,4,33.8,0,33.8,0
2015-06-13,2015,6,13,22.5,14,18.3,0,0.3,0,0,0,0
2015-06-14,2015,6,14,,,,,,,,,
2015-06-15,2015,6,15,29,21,25,0,7,15.4,0,15.4,0
2015-06-16,2015,6,16,29.5,20,24.8,0,6.8,0,0,0,0
2015-06-17,2015,6,17,25,15.5,20.3,0,2.3,2,0,2,0
2015-06-18,2015,6,18,28.5,18,23.3,0,5.3,0.6,0,0.6,0
2015-06-19,2015,6,19,,,,,,,,,
2015-06-20,2015,6,20,26,13,19.5,0,1.5,0,0,0,0
2015-06-21,2015,6,21,29,19,24,0,6,0,0,0,0
2015-06-22,2015,6,22,29,16.5,22.8,0,4.8,28.2,0,28.2,0
2015-06-23,2015,6,23,27,19,23,0,5,0,0,0,0
2015-06-24,2015,6,24,27,12,19.5,0,1.5,0,0,0,0
2015-06-25,2015,6,25,,,,,,,,,
2015-06-26,2015,6,26,25,14.5,19.8,0,1.8,27.8,0,27.8,0
2015-06-27,2015,6,27,17,14,15.5,2.5,0,30.4,0,30.4,0
2015-06-28,2015,6,28,25,14.5,19.8,0,1.8,0,0,0,0
2015-06-29,2015,6,29,24.5,15,19.8,0,1.8,1.8,0,1.8,0
2015-06-30,2015,6,30,26,17,21.5,0,3.5,2.4,0,2.4,0
2015-07-01,2015,7,1,24.5,17,20.8,0,2.8,0,0,0,0
2015-07-02,2015,7,2,24,14,19,0,1,0,0,0,0
2015-07-03,2015,7,3,25,10,17.5,0.5,0,0,0,0,0
2015-07-04,2015,7,4,26,11,18.5,0,0.5,0,0,0,0
2015-07-05,2015,7,5,28,14,21,0,3,0,0,0,0
2015-07-06,2015,7,6,,,,,,,,,
2015-07-07,2015,7,7,26,18,22,0,4,8.6,0,8.6,0
2015-07-08,2015,7,8,20,12.5,16.3,1.7,0,14.4,0,14.4,0
2015-07-09,2015,7,9,24,17,20.5,0,2.5,3.5,0,3.5,0
2015-07-10,2015,7,10,26,13,19.5,0,1.5,0,0,0,0
2015-07-11,2015,7,11,28,13.5,20.8,0,2.8,0,0,0,0
2015-07-12,2015,7,12,25,18,21.5,0,3.5,0,0,0,0
2015-07-13,2015,7,13,,,,,,,,,
2015-07-14,2015,7,14,29,19.5,24.3,0,6.3,1.8,0,1.8,0
2015-07-15,2015,7,15,23.5,14.5,19,0,1,0,0,0,0
2015-07-16,2015,7,16,25,11,18,0,0,3.6,0,3.6,0
2015-07-17,2015,7,17,30,18,24,0,6,0,0,0,0
2015-07-18,2015,7,18,32,21,26.5,0,8.5,3,0,3,0
2015-07-19,2015,7,19,33,21.5,27.3,0,9.3,0,0,0,0
2015-07-20,2015,7,20,30,15,22.5,0,4.5,0,0,0,0
2015-07-21,2015,7,21,,,,,,,,,
2015-07-22,2015,7,22,27,14.5,20.8,0,2.8,0,0,0,0
2015-07-23,2015,7,23,29,15,22,0,4,0,0,0,0
2015-07-24,2015,7,24,31,,,,,0,0,0,0
2015-07-25,2015,7,25,31.5,18.5,25,0,7,5.4,0,5.4,0
2015-07-26,2015,7,26,30,20,25,0,7,0,0,0,0
2015-07-27,2015,7,27,32,16,24,0,6,0,0,0,0
2015-07-28,2015,7,28,33.5,17.5,25.5,0,7.5,0,0,0,0
2015-07-29,2015,7,29,,,,,,,,,
2015-07-30,2015,7,30,30.5,19,24.8,0,6.8,0,0,0,0
2015-07-31,2015,7,31,31,19.5,25.3,0,7.3,0,0,0,0
2015-08-01,2015,8,1,29,16.5,22.8,0,4.8,0,0,0,0
2015-08-02,2015,8,2,33.5,16.5,25,0,7,27.8,0,27.8,0
2015-08-03,2015,8,3,,,,,,,,,
2015-08-04,2015,8,4,28.5,15,21.8,0,3.8,0,0,0,0
2015-08-05,2015,8,5,27,15.5,21.3,0,3.3,0,0,0,0
2015-08-06,2015,8,6,,,,,,,,,
2015-08-07,2015,8,7,27,,,,,0,0,0,0
2015-08-08,2015,8,8,25,15,20,0,2,1.4,0,1.4,0
2015-08-09,2015,8,9,28.5,18.5,23.5,0,5.5,0,0,0,0
2015-08-10,2015,8,10,27,20,23.5,0,5.5,11.6,0,11.6,0
2015-08-11,2015,8,11,,,,,,,,,
2015-08-12,2015,8,12,,,,,,,,,
2015-08-13,2015,8,13,30,14.5,22.3,0,4.3,0,0,0,0
2015-08-14,2015,8,14,30.5,20.5,25.5,0,7.5,0,0,0,0
2015-08-15,2015,8,15,,,,,,,,,
2015-08-16,2015,8,16,31,18,24.5,0,6.5,0,0,0,0
2015-08-17,2015,8,17,31.5,21,26.3,0,8.3,0,0,0,0
2015-08-18,2015,8,18,29,20.5,24.8,0,6.8,0,0,0,0
2015-08-19,2015,8,19,30.5,22,26.3,0,8.3,30.2,0,30.2,0
2015-08-20,2015,8,20,25,17,21,0,3,0,0,0,0
2015-08-21,2015,8,21,26.5,15,20.8,0,2.8,0,0,0,0
2015-08-22,2015,8,22,,,,,,,,,
2015-08-23,2015,8,23,28,15,21.5,0,3.5,0.6,0,0.6,0
2015-08-24,2015,8,24,,,,,,,,,
2015-08-25,2015,8,25,19,14,16.5,1.5,0,0,0,0,0
2015-08-26,2015,8,26,,,,,,,,,
2015-08-27,2015,8,27,,,,,,,,,
2015-08-28,2015,8,28,,,,,,,,,
2015-08-29,2015,8,29,,,,,,,,,
2015-08-30,2015,8,30,29,19,24,0,6,0,0,0,0
2015-08-31,2015,8,31,30.5,17.5,24,0,6,0,0,0,0
2015-09-01,2015,9,1,32,18,25,0,7,0,0,0,0
2015-09-02,2015,9,2,,,,,,,,,
2015-09-03,2015,9,3,32,20,26,0,8,57.2,0,57.2,0
2015-09-04,2015,9,4,30,18.5,24.3,0,6.3,2.6,0,2.6,0
2015-09-05,2015,9,5,26.5,19.5,23,0,5,0.8,0,0.8,0
2015-09-06,2015,9,6,31.5,,,,,0,0,0,0
2015-09-07,2015,9,7,32.5,18,25.3,0,7.3,0,0,0,0
2015-09-08,2015,9,8,,,,,,,,,
2015-09-09,2015,9,9,25.5,21,23.3,0,5.3,0,0,0,0
2015-09-10,2015,9,10,,,,,,,,,
2015-09-11,2015,9,11,20.5,15,17.8,0.2,0,4.8,0,4.8,0
2015-09-12,2015,9,12,19,11.5,15.3,2.7,0,0,0,0,0
2015-09-13,2015,9,13,20,9,14.5,3.5,0,0,0,0,0
2015-09-14,2015,9,14,,,,,,0,0,0,0
2015-09-15,2015,9,15,,,,,,,,,
2015-09-16,2015,9,16,27.5,13,20.3,0,2.3,0,0,0,0
2015-09-17,2015,9,17,,,,,,,,,
2015-09-18,2015,9,18,,,,,,,,,
2015-09-19,2015,9,19,22,19.5,20.8,0,2.8,2.2,0,2.2,0
2015-09-20,2015,9,20,,,,,,0,0,0,0
2015-09-21,2015,9,21,,,,,,0,0,0,0
2015-09-22,2015,9,22,,,,,,0,0,0,0
2015-09-23,2015,9,23,,,,,,0,0,0,0
2015-09-24,2015,9,24,26.5,,,,,0,0,0,0
2015-09-25,2015,9,25,,,,,,,,,
2015-09-26,2015,9,26,,,,,,,,,
2015-09-27,2015,9,27,25.5,14.5,20,0,2,0,0,0,0
2015-09-28,2015,9,28,26.5,19,22.8,0,4.8,0,0,0,0
2015-09-29,2015,9,29,22.5,17,19.8,0,1.8,9.8,0,9.8,0
2015-09-30,2015,9,30,18.5,12.5,15.5,2.5,0,0,0,0,0
2015-10-01,2015,10,1,,,,,,,,,
2015-10-02,2015,10,2,,,,,,,,,
2015-10-03,2015,10,3,13.5,,,,,8.8,0,8.8,0
2015-10-04,2015,10,4,17.5,8,12.8,5.2,0,0,0,0,0
2015-10-05,2015,10,5,23,12,17.5,0.5,0,0,0,0,0
2015-10-06,2015,10,6,20.5,13,16.8,1.2,0,0,0,0,0
2015-10-07,2015,10,7,23,11,17,1,0,0,0,0,0
2015-10-08,2015,10,8,,,,,,,,,
2015-10-09,2015,10,9,17,14,15.5,2.5,0,0,0,0,0
2015-10-10,2015,10,10,,,,,,,,,
2015-10-11,2015,10,11,22.5,10,16.3,1.7,0,0,0,0,0
2015-10-12,2015,10,12,24.5,13,18.8,0,0.8,0,0,0,0
2015-10-13,2015,10,13,,,,,,,,,
2015-10-14,2015,10,14,,,,,,,,,
2015-10-15,2015,10,15,19.5,,,,,1.2,0,1.2,0
2015-10-16,2015,10,16,15,4.5,9.8,8.2,0,0,0,0,0
2015-10-17,2015,10,17,9,,,,,0,0,0,0
2015-10-18,2015,10,18,,,,,,,,,
2015-10-19,2015,10,19,,,,,,,,,
2015-10-20,2015,10,20,22,12.5,17.3,0.7,0,0,0,0,0
2015-10-21,2015,10,21,21.5,12,16.8,1.2,0,0,0,0,0
2015-10-22,2015,10,22,19.5,14,16.8,1.2,0,0,0,0,0
2015-10-23,2015,10,23,,,,,,,,,
2015-10-24,2015,10,24,20,10,15,3,0,4.2,0,4.2,0
2015-10-25,2015,10,25,16,9,12.5,5.5,0,0,0,0,0
2015-10-26,2015,10,26,15.5,2,8.8,9.2,0,0,0,0,0
2015-10-27,2015,10,27,,,,,,,,,
2015-10-28,2015,10,28,16,10,13,5,0,1.8,0,1.8,0
2015-10-29,2015,10,29,,,,,,,,,
2015-10-30,2015,10,30,,,,,,,,,
2015-10-31,2015,10,31,,,,,,,,,
2015-11-01,2015,11,1,,,,,,,,,
2015-11-02,2015,11,2,,,,,,,,,
2015-11-03,2015,11,3,22,6.5,14.3,3.7,0,0,0,0,0
2015-11-04,2015,11,4,23,5,14,4,0,0,0,0,0
2015-11-05,2015,11,5,22,11,16.5,1.5,0,6.6,0,6.6,0
2015-11-06,2015,11,6,18,12,15,3,0,1,0,1,0
2015-11-07,2015,11,7,12.5,7,9.8,8.2,0,1,0,1,0
2015-11-08,2015,11,8,,,,,,,,,
2015-11-09,2015,11,9,14.5,-1.5,6.5,11.5,0,12.2,0,12.2,0
2015-11-10,2015,11,10,,,,,,,,,
2015-11-11,2015,11,11,,,,,,,,,
2015-11-12,2015,11,12,10.5,7.5,9,9,0,3.2,0,3.2,0
2015-11-13,2015,11,13,,,,,,,,,
2015-11-14,2015,11,14,,,,,,,,,
2015-11-15,2015,11,15,17,5,11,7,0,0,0,0,0
2015-11-16,2015,11,16,,,,,,,,,
2015-11-17,2015,11,17,,,,,,,,,
2015-11-18,2015,11,18,16,12,14,4,0,11.6,0,11.6,0
2015-11-19,2015,11,19,14.5,7,10.8,7.2,0,0,0,0,0
2015-11-20,2015,11,20,,,,,,,,,
2015-11-21,2015,11,21,2,-0.5,0.8,17.2,0,1.6,10,11.6,0
2015-11-22,2015,11,22,1.5,-4,-1.3,19.3,0,0,0,0,7
2015-11-23,2015,11,23,,,,,,,,,
2015-11-24,2015,11,24,,,,,,,,,
2015-11-25,2015,11,25,,,,,,,,,
2015-11-26,2015,11,26,,,,,,,,,
2015-11-27,2015,11,27,12,3.5,7.8,10.2,0,11.6,0,11.6,0
2015-11-28,2015,11,28,,,,,,,,,
2015-11-29,2015,11,29,4.5,,,,,0,0,0,0
2015-11-30,2015,11,30,,,,,,,,,
2015-12-01,2015,12,1,,,,,,,,,
2015-12-02,2015,12,2,7.5,-4,1.8,16.2,0,4,0,4,0
2015-12-03,2015,12,3,,,,,,,,,
2015-12-04,2015,12,4,6.5,,,,,0,0,0,0
2015-12-05,2015,12,5,,,,,,,,,
2015-12-06,2015,12,6,,,,,,,,,
2015-12-07,2015,12,7,3,-2.5,0.3,17.7,0,0,0,0,0
2015-12-08,2015,12,8,,,,,,,,,
2015-12-09,2015,12,9,,,,,,,,,
2015-12-10,2015,12,10,,,,,,,,,
2015-12-11,2015,12,11,13,5.5,9.3,8.7,0,0,0,0,0
2015-12-12,2015,12,12,16,7,11.5,6.5,0,0.6,0,0.6,0
2015-12-13,2015,12,13,15,11,13,5,0,0,0,0,0
2015-12-14,2015,12,14,,,,,,,,,
2015-12-15,2015,12,15,,,,,,,,,
2015-12-16,2015,12,16,,,,,,,,,
2015-12-17,2015,12,17,10.5,,,,,0,0,0,0
2015-12-18,2015,12,18,,,,,,,,,
2015-12-19,2015,12,19,3,-4,-0.5,18.5,0,0,0,0,0
2015-12-20,2015,12,20,5.5,-5,0.3,17.7,0,7,0,7,0
2015-12-21,2015,12,21,,,,,,,,,
2015-12-22,2015,12,22,11.5,4,7.8,10.2,0,0,0,0,0
2015-12-23,2015,12,23,15.5,1,8.3,9.7,0,10.4,0,10.4,0
2015-12-24,2015,12,24,,,,,,,,,
2015-12-25,2015,12,25,,,,,,0,0,0,0
2015-12-26,2015,12,26,9.5,,,,,18.4,0,18.4,0
2015-12-27,2015,12,27,,,,,,,,,
2015-12-28,2015,12,28,,,,,,,,,
2015-12-29,2015,12,29,6.5,-2,2.3,15.7,0,0,0,0,0
2015-12-30,2015,12,30,,,,,,,,,
2015-12-31,2015,12,31,,,,,,,,,
2016-01-01,2016,1,1,,,,,,,,,
2016-01-02,2016,1,2,,,,,,,,,
2016-01-03,2016,1,3,,,,,,,,,
2016-01-04,2016,1,4,,,,,,,,,
2016-01-05,2016,1,5,,,,,,,,,
2016-01-06,2016,1,6,,,,,,,,,
2016-01-07,2016,1,7,,,,,,,,,
2016-01-08,2016,1,8,7,-14,-3.5,21.5,0,9,0,9,0
2016-01-09,2016,1,9,11,3,7,11,0,14.6,0,14.6,0
2016-01-10,2016,1,10,-1.5,-5,-3.3,21.3,0,0,7,7,0
2016-01-11,2016,1,11,,,,,,,,,
2016-01-12,2016,1,12,-5,-12,-8.5,26.5,0,0,0,0,12
2016-01-13,2016,1,13,,,,,,,,,
2016-01-14,2016,1,14,2.5,-10.5,-4,22,0,0,0,0,11
2016-01-15,2016,1,15,4.5,-2,1.3,16.7,0,7.6,0,7.6,8
2016-01-16,2016,1,16,,,,,,,,,
2016-01-17,2016,1,17,,,,,,,,,
2016-01-18,2016,1,18,,,,,,,,,
2016-01-19,2016,1,19,,,,,,,,,
2016-01-20,2016,1,20,,,,,,,,,
2016-01-21,2016,1,21,-3,,,,,0,0,0,0
2016-01-22,2016,1,22,,,,,,,,,
2016-01-23,2016,1,23,,,,,,,,,
2016-01-24,2016,1,24,3,,,,,0,0,0,0
2016-01-25,2016,1,25,5.5,-9,-1.8,19.8,0,0,0,0,0
2016-01-26,2016,1,26,6,,,,,0,0,0,0
2016-01-27,2016,1,27,,,,,,,,,
2016-01-28,2016,1,28,,,,,,,,,
2016-01-29,2016,1,29,,,,,,,,,
2016-01-30,2016,1,30,,,,,,,,,
2016-01-31,2016,1,31,,,,,,,,,
2016-02-01,2016,2,1,,,,,,,,,
2016-02-02,2016,2,2,9.5,-5.5,2,16,0,10.2,0,10.2,0
2016-02-03,2016,2,3,13,1.5,7.3,10.7,0,0,0,0,0
2016-02-04,2016,2,4,1.5,-1,0.3,17.7,0,0,0,0,0
2016-02-05,2016,2,5,,,,,,,,,
2016-02-06,2016,2,6,,,,,,,,,
2016-02-07,2016,2,7,8.5,,,,,0.4,0,0.4,0
2016-02-08,2016,2,8,5,-1,2,16,0,0,7,7,0
2016-02-09,2016,2,9,,,,,,,,,
2016-02-10,2016,2,10,,,,,,,,,
2016-02-11,2016,2,11,,,,,,,,,
2016-02-12,2016,2,12,,,,,,,,,
2016-02-13,2016,2,13,-8.5,-16,-12.3,30.3,0,0,0,0,3
2016-02-14,2016,2,14,-5,-18,-11.5,29.5,0,0,1,1,3
2016-02-15,2016,2,15,,,,,,,,,
2016-02-16,2016,2,16,,,,,,,,,
2016-02-17,2016,2,17,,,,,,,,,
2016-02-18,2016,2,18,6.5,-12,-2.8,20.8,0,0,0,0,4
2016-02-19,2016,2,19,17.5,-3.5,7,11,0,0,0,0,0
2016-02-20,2016,2,20,17.5,5,11.3,6.7,0,0,0,0,0
2016-02-21,2016,2,21,,,,,,,,,
2016-02-22,2016,2,22,,,,,,,,,
2016-02-23,2016,2,23,,,,,,,,,
2016-02-24,2016,2,24,1,-1,0,18,0,25.4,6,31.4,0
2016-02-25,2016,2,25,1,-3.5,-1.3,19.3,0,0,0,0,6
2016-02-26,2016,2,26,,,,,,,,,
2016-02-27,2016,2,27,,,,,,,,,
2016-02-28,2016,2,28,,,,,,,,,
2016-02-29,2016,2,29,10.5,-1,4.8,13.2,0,0,0,0,0
2016-03-01,2016,3,1,10.5,-5,2.8,15.2,0,3,5,8,1
2016-03-02,2016,3,2,,,,,,,,,
2016-03-03,2016,3,3,,,,,,,,,
2016-03-04,2016,3,4,2,-4,-1,19,0,0,2,2,7
2016-03-05,2016,3,5,,,,,,,,,
2016-03-06,2016,3,6,7.5,,,,,0,0,0,0
2016-03-07,2016,3,7,18,-2,8,10,0,0,0,0,0
2016-03-08,2016,3,8,,,,,,,,,
2016-03-09,2016,3,9,20,9,14.5,3.5,0,3.2,0,3.2,0
2016-03-10,2016,3,10,,,,,,,,,
2016-03-11,2016,3,11,,,,,,,,,
2016-03-12,2016,3,12,,,,,,,,,
2016-03-13,2016,3,13,11,5,8,10,0,23.8,0,23.8,0
2016-03-14,2016,3,14,,,,,,,,,
2016-03-15,2016,3,15,15,7,11,7,0,1.2,0,1.2,0
2016-03-16,2016,3,16,16,5.5,10.8,7.2,0,0.8,0,0.8,0
2016-03-17,2016,3,17,13.5,5.5,9.5,8.5,0,0,0,0,0
2016-03-18,2016,3,18,11,-2.5,4.3,13.7,0,0,0,0,0
2016-03-19,2016,3,19,,,,,,0,0,0,0
2016-03-20,2016,3,20,6.5,,,,,0,0,0,0
2016-03-21,2016,3,21,8.5,-3,2.8,15.2,0,0,0,0,0
2016-03-22,2016,3,22,,,,,,,,,
2016-03-23,2016,3,23,13,0,6.5,11.5,0,3.4,0,3.4,0
